id,ime,regija,mesto,velikost,cena,tip,leto,adaptirano,nadstropje,agencija,opis,url
6289943,lj-center-stanovanje,LJ-mesto,Lj. Center,38.9,580.0,garsonjera,2005,,,"Stoja trade, d.o.o., Ljubljana","38,9 m2, garsonjera, zgrajena l. 2005, 3. nad., oddamo. Cena: 580,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/lj-center-stanovanje_6289943/
6299148,lj-center-central-locationgarage-stanovanje,LJ-mesto,Lj. Center,47.35,950.0,dvosobno,1961,2000,,Garant - Gabrijela Smuk s.p.,"47,35 m2, 2-sobno, zgrajeno l. 1961, adaptirano l. 2000, 3. nad., oddamo. Cena: 950,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/lj-center-central-locationgarage-stanovanje_6299148/
6296970,rozna-dolina-skrabceva-ulica-stanovanje,LJ-mesto,Lj. Vič-Rudnik,105.0,1490.0,trisobno,2010,,1,Zasebna ponudba,"105 m2, 3-sobno, zgrajeno l. 2010, 1/2 nad., 3-sobno opremljeno stanovanje v neposredni blizini centra, 40 m2 velika ter...",https://www.nepremicnine.net/oglasi-oddaja/rozna-dolina-skrabceva-ulica-stanovanje_6296970/
6225422,sp-siska-mazijeva-ulica-stanovanje,LJ-mesto,Lj. Šiška,60.0,1200.0,dvosobno,1935,2018,2,Akustika group d.o.o.,"60 m2, 2-sobno, zgrajeno l. 1935, adaptirano l. 2018, 2/2 nad., oddamo. Cena: 1.200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-mazijeva-ulica-stanovanje_6225422/
6294509,ankaran-stanovanje,J. Primorska,Koper,44.0,500.0,enosobno,1955,1997,P,"Focus nepremičnine, Eva Lukin s.p.","44 m2, 1-sobno, zgrajeno l. 1955, adaptirano l. 1997, P/2 nad., Oddamo stanovanje, opremljeno, lastna CK na elektriko, k...",https://www.nepremicnine.net/oglasi-oddaja/ankaran-stanovanje_6294509/
6297540,ankaran-center-stanovanje,J. Primorska,Koper,56.0,600.0,dvoinpolsobno,1994,2018,1,Zasebna ponudba,"56 m2, 2,5-sobno, zgrajeno l. 1994, adaptirano l. 2018, 1/2 nad., oddamo. Cena: cca 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/ankaran-center-stanovanje_6297540/
6302931,ankaran-hvatinova-ulica-stanovanje,J. Primorska,Koper,20.0,280.0,garsonjera,1966,2015,P,"Gregorič - Istra, k.d.","20 m2, garsonjera, zgrajena l. 1966, adaptirana l. 2015, P/2 nad., opremljeno, klima, zunanja terasa, najemnina + obrato...",https://www.nepremicnine.net/oglasi-oddaja/ankaran-hvatinova-ulica-stanovanje_6302931/
6301399,ankaran-soncni-park-stanovanje,J. Primorska,Koper,40.0,420.0,enosobno,1992,2014,1,Zasebna ponudba,"40 m2, 1-sobno, zgrajeno l. 1992, adaptirano l. 2014, 1/2 nad., Za daljši čas oddamo 1sobno popolnoma opremljeno stanova...",https://www.nepremicnine.net/oglasi-oddaja/ankaran-soncni-park-stanovanje_6301399/
6302337,ankaran-soncni-park--roznik-stanovanje,J. Primorska,Koper,20.0,300.0,garsonjera,1990,,P,Zasebna ponudba,"20 m2, garsonjera, zgrajena l. 1990, 5 m2 zemljišča, P/3 nad., oddamo. Cena: 300,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/ankaran-soncni-park--roznik-stanovanje_6302337/
6150114,arnovo-selo-stanovanje,Posavska,Brežice,17.0,130.0,Soba,2017,2017,2,Zasebna ponudba,"17 m2, soba, adaptirana l. 2017, 2/2 nad., oddamo. Cena: max. 130,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/arnovo-selo-stanovanje_6150114/
6270540,banovci-blizu-term-stanovanje,Pomurska,Ljutomer,42.9,300.0,dvosobno,2009,,,"RE/MAX Pomurje, PRO-BEL, d.o.o.","42,9 m2, 2-sobno, zgrajeno l. 2009, mansarda, Banovci, 2 manjši stanovanji, oddamo. Cena: 300,00 EUR/m2/mes",https://www.nepremicnine.net/oglasi-oddaja/banovci-blizu-term-stanovanje_6270540/
6301597,betnava-ljubljanska-ulica-stanovanje,Podravska,Maribor,61.2,500.0,trisobno,1967,2017,5,Zasebna ponudba,"61,2 m2, 3-sobno, zgrajeno l. 1967, adaptirano l. 2017, 5/5 nad., parkirišče, prenovljeno, varčno, opremljeno, optika, o...",https://www.nepremicnine.net/oglasi-oddaja/betnava-ljubljanska-ulica-stanovanje_6301597/
6296631,bezigrajski-dvor-stanovanje,LJ-mesto,Lj. Bežigrad,87.0,1200.0,trisobno,1997,,2,Zasebna ponudba,"87 m2, 3-sobno, zgrajeno l. 1997, 2/4 nad., bežigrajski dvor, 3-sobno popolnoma opremljeno stanovanje oddamo. možnost na...",https://www.nepremicnine.net/oglasi-oddaja/bezigrajski-dvor-stanovanje_6296631/
6293130,bizovik-hrusevska-c-10-min-do-centra-stanovanje,LJ-mesto,Lj. Moste-Polje,119.5,950.0,,2002,,,Garant - Gabrijela Smuk s.p.,"119,5 m2, 4-sobno, zgrajeno l. 2002, 27 m2 zemljišča, pritličje, Oddamo stanovanje z dvema parkirnima mestoma v garaži. ...",https://www.nepremicnine.net/oglasi-oddaja/bizovik-hrusevska-c-10-min-do-centra-stanovanje_6293130/
6297862,blatna-brezovica-vrhnika-stanovanje,LJ-okolica,Vrhnika,220.0,1250.0,,2008,2008,1,Zasebna ponudba,"220 m2, 4-sobno, dupleks, adaptirano l. 2008, 610 m2 zemljišča, 1/2 nad., 220 m2, nadstandardno 4 sobno v hiši, opremlje...",https://www.nepremicnine.net/oglasi-oddaja/blatna-brezovica-vrhnika-stanovanje_6297862/
6301946,bled-stanovanje,Gorenjska,Radovljica,56.0,590.0,dvosobno,2019,,2,Zasebna ponudba,"56 m2, 2-sobno, zgrajeno l. 2019, 2/2 nad., novo stanovanje 46 m2 plus 10 m2 balkon, parkirno mesto, klet, popolnoma opr...",https://www.nepremicnine.net/oglasi-oddaja/bled-stanovanje_6301946/
6299510,bled-stanovanje,Gorenjska,Radovljica,60.3,1000.0,dvoinpolsobno,2019,,2,Zasebna ponudba,"60,3 m2, 2,5-sobno, zgrajeno l. 2019, 2/2 nad., Odlična lokacija, takoj vseljivo, v bližini trgovine, vrtec, šola. podze...",https://www.nepremicnine.net/oglasi-oddaja/bled-stanovanje_6299510/
5866229,bled-blizina-jezera-za-krajse-obdobje-stanovanje,Gorenjska,Radovljica,50.0,450.0,enoinpolsobno,1900,,2,ALEA nepremičninska družba d.o.o.,"50 m2, 1,5-sobno, zgrajeno l. 1900, 2/2 nad., stanovanje se nahaja cca 100M od jezera na Ljubljanski cesti v urejeni in ...",https://www.nepremicnine.net/oglasi-oddaja/bled-blizina-jezera-za-krajse-obdobje-stanovanje_5866229/
6300816,bled-blizina-jezera-krajse-obdobje-stanovanje,Gorenjska,Radovljica,50.0,450.0,enoinpolsobno,1900,,2,ALEA nepremičninska družba d.o.o.,"50 m2, 1,5-sobno, zgrajeno l. 1900, 2/2 nad., stanovanje se nahaja cca 100M od jezera na Ljubljanski cesti v urejeni in ...",https://www.nepremicnine.net/oglasi-oddaja/bled-blizina-jezera-krajse-obdobje-stanovanje_6300816/
6292253,bled-center-stanovanje,Gorenjska,Radovljica,26.0,400.0,garsonjera,2010,2010,,Zasebna ponudba,"26 m2, garsonjera, adaptirana l. 2010, 1. nad., v centru bleda oddamo manjše stanovanje s svojo kuhinjo in kopalnico v v...",https://www.nepremicnine.net/oglasi-oddaja/bled-center-stanovanje_6292253/
